VideoTitle,VideoDate,nLikes,nComments,nViews,Duration(seconds),VideoAge(Days),Like/ViewsRatio,Comments/ViewsRatio
Can I Beat An F1 Driver?,2025-11-18T17:00:01Z,606830,6029,63041083,11,1,0.01,0.0001
How I Became MrBeef,2025-11-16T20:00:02Z,633565,10065,14545049,46,3,0.044,0.0007
I Raced Noah Lyles,2025-11-14T17:00:01Z,1910727,7085,117132134,32,5,0.016,0.0001
100 People Vs World’s Biggest Trap!,2025-11-08T17:00:00Z,1587634,73778,70002346,1843,11,0.023,0.0011
Giving Trick-or-Treaters Weirder and Weirder Gifts,2025-11-07T17:00:05Z,1247781,10704,100020677,27,12,0.012,0.0001
MrBeast Lab Disaster!,2025-11-03T17:00:01Z,982324,14187,22722611,67,16,0.043,0.0006
Can We Stop World's Best Tennis Player,2025-10-31T16:00:02Z,1031677,9574,56401550,23,19,0.018,0.0002
"I Saved 1,000 Animals From Dying",2025-10-25T16:00:01Z,2695341,49270,109711597,1056,25,0.025,0.0004
I Baked a Cake In a Race Car,2025-10-21T16:00:01Z,633346,6697,32388736,38,29,0.02,0.0002
"First to Answer the Phone, Wins $10,000",2025-10-17T16:00:00Z,1425680,7627,44570459,46,33,0.032,0.0002
"Answer The Door, Win $10,000",2025-10-14T16:00:00Z,1836270,34784,58538072,31,36,0.031,0.0006
100 Kids Vs World's Strongest Man!,2025-10-11T16:00:00Z,2563755,47522,127566169,1641,39,0.02,0.0004
"Jump Over The Lava, Win!",2025-10-10T16:00:01Z,1639696,9890,56460476,63,40,0.029,0.0002
"Call Your Ex, Win $10,000",2025-10-07T16:00:00Z,2017840,7378,71239211,34,43,0.028,0.0001
Hi Me In 10 Years,2025-10-04T16:00:07Z,3356215,104836,49400528,194,46,0.068,0.0021
World’s Fastest Dinner Date,2025-10-03T16:00:03Z,3113476,9623,212530566,34,47,0.015,0.0
"Would You Risk Dying For $500,000?",2025-09-27T16:00:04Z,2091693,29503,99896491,1526,53,0.021,0.0003
Would Your Grandma Go Skydiving?,2025-09-26T18:00:07Z,2174111,7646,73780360,42,54,0.029,0.0001
I Cooked A Pizza With Power Tools,2025-09-23T16:00:07Z,6214544,22923,316298936,40,57,0.02,0.0001
